domain,model,variable,target_class,n,TP,FP,FN,F1,Wilson_lo,Wilson_hi,gate,CI_contains_gate,CI_excludes_gate_below,CI_excludes_gate_above
ECHO,qwen2.5:7b,echo_variant,1,297,67,31,5,0.7882,0.7208,0.8429,0.9,False,True,False
ECHO,qwen2.5:7b,ef_abnormal,1,298,15,0,0,1.0,0.8865,1.0,0.9,True,False,False
ECHO,qwen2.5:7b,reflux_grade,none,298,84,0,1,0.9941,0.9672,0.999,0.9,False,False,True
ECHO,qwen2.5:7b,reflux_grade,trace_mild,298,102,24,3,0.8831,0.8353,0.9184,0.9,True,False,False
ECHO,qwen2.5:7b,reflux_grade,moderate,298,82,6,23,0.8497,0.7925,0.8933,0.9,False,True,False
ECHO,qwen2.5:7b,echo_unreadable,1,300,2,0,0,1.0,0.5101,1.0,0.9,True,False,False
ECHO,glm4:9b,echo_lvh,1,298,8,2,20,0.4211,0.2785,0.5781,0.9,False,True,False
ECHO,glm4:9b,echo_la_dilate,1,298,20,2,13,0.7273,0.5977,0.8272,0.9,False,True,False
ECHO,glm4:9b,echo_normal,0,298,222,1,4,0.9889,0.9742,0.9952,0.9,False,False,True
ECHO,glm4:9b,echo_variant,1,297,59,12,13,0.8252,0.7546,0.8787,0.9,False,True,False
ECHO,glm4:9b,ef_abnormal,1,298,15,0,0,1.0,0.8865,1.0,0.9,True,False,False
ECHO,glm4:9b,reflux_grade,none,298,84,0,1,0.9941,0.9672,0.999,0.9,False,False,True
ECHO,glm4:9b,reflux_grade,trace_mild,298,76,0,29,0.8398,0.7794,0.8861,0.9,False,True,False
ECHO,glm4:9b,reflux_grade,moderate,298,52,28,53,0.5622,0.4901,0.6317,0.9,False,True,False
ECHO,glm4:9b,reflux_grade,severe,298,3,55,0,0.0984,0.0459,0.1984,0.9,False,True,False
ECHO,glm4:9b,echo_unreadable,1,300,2,0,0,1.0,0.5101,1.0,0.9,True,False,False
